Proband,Alter,Geschlecht,Bildung,Beruf,PC Nutzung priv. Jahre,PC Nutzung beruf. Jahre,PC Nutzung priv. Stunden,PC Nutzung beruf. Stunden,Kenntnisse allg.,Kenntnisse Betriebssystem,Kenntnisse Internet,Kenntnisse Programme,Mail,Nutzername,Passwort,ASF_F1,ASF_F2,…,E1_F1,E1_F2,E1_F3,E1_F4,E1_F5,E1_F6,E1_F7
1,1973,1,3,Maurer,4,0,2,0,3,4,5,5,hanswurst@yahoo.de,Wurst,Bockwurst03,2,5,,Texteintrag,Texteintrag,2,6,5,5,1
2,1967,111,5,Bankkaufmann,7,8,1,8,5,6,6,4,kunterbunt@gmx.de,Bunter,Kunter123,3,2,,Texteintrag,Texteintrag,4,3,2,2,2
3,1985,2,1,111,2,0,4,0,2,7,4,3,111,111,111,2,3,,Texteintrag,Texteintrag,3,111,5,4,Schule
…,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,30,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Beschreibung für dich:,,,,,,,,,,,,,,,,,,,,,,,,,
Jeder Proband sollte automatisch eine Nummer zugewiesen bekommen,111= Keine Angabe,111= Keine Angabe,111=keine Angabe,111=keine Angabe,111=keine Angabe,111=keine Angabe,111=keine Angabe,111=keine Angabe,111=keine Angabe,111=keine Angabe,111=keine Angabe,111=keine Angabe,111=keine Angabe,111=keine Angabe,111=keine Angabe,111=keine Angabe,111=keine Angabe,,111=keine Angabe,111=keine Angabe,111=keine Angabe,111=keine Angabe,111=keine Angabe,111=keine Angabe,111=keine Angabe
,,1= männlich,1=Schüler,String,hier die entsprechende Zahl,,,,Zahl 1-7,Zahl 1-7,1,1,Srting,Srting,Srting,1,1,,String,String,1,1,1,1,1=Arbeit
,,2 = weiblich,2=Hauptschule,,bei weniger als 1 Jahr = 0,,,,,,2,2,,,,2,2,,,,2,2,2,2,2=Freizeit
,,,3=Mittlere Reife,,,,,,,,3,3,,,,3,3,,,,3,3,3,3,String=Anderer Ort
,,,4=Lehre,,,,,,,,4,4,,,,4,4,,,,4,4,4,4,
,220,,5=(Fach)Abitur,,,,,,,,5,5,,,,5,5,,,,5,5,5,5,
,,,6=(Fach)Hochschulabschluss,,,,,,,,6,6,,,,,,,Beschreibung Erfolg,Ursache Erfolg,6,6,6,6,
,,,7=keinen Abschluss,,,,,,,,7,7,,,,,,,,,7,7,7,7,
,,,8=Sonstigen,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Spalten A-M ist der Registrierungsfragebogen ohne Nutzerangaben (frage ist ob die Spalten N-P notwendig sind um ggf. das PW zurück zu setzten),,,,,,,,,,,,,,,,,,,,,,,,,
20 Boss,,,,,,,,,,,,,,,,,,,,,,,,,
Ab Spalte T für die Erfolge und Misserfolge Beispiel E1_F1 (E=Erfolg; 1=erster Erfolgseintrag; F=Frage; 1=erste Frage) …,,,,,,,,,,,,,,,,,,,,,,,,,
